| Disease                                       | Age Range    | Occupation Most Affected      | Environmental Condition       | Gender  | Region Case Study     | Latitude   | Longitude   |
|-----------------------------------------------|--------------|-------------------------------|-------------------------------|---------|------------------------|------------|-------------|
| Whooping Cough                                | 1-5 years    | Pediatricians                 | Respiratory Infections        | Any     | Arusha                 | -3.3869    | 36.6825     |
| Bronchiectasis                                | 30-70 years  | Factory Workers               | Chronic Respiratory Infections | Any  | Mwanza                 | -2.5167    | 32.9000     |
| Lung Abscess                                  | 40-80 years  | Smokers                       | Aspiration Pneumonia          | Any     | Kilimanjaro            | -3.0674    | 37.3556     |
| Aspergillosis                                 | 20-60 years  | Farmers                       | Inhalation of Aspergillus Spores | Any | Morogoro               | -6.8222    | 37.6611     |
| Influenza                                     | 1-80 years   | Healthcare Workers            | Seasonal Viral Infections     | Any     | Tanga                  | -5.0689    | 39.0988     |
| Hypertension                                  | 30-80 years  | Sedentary Office Workers      | Unhealthy Lifestyle Choices   | Any     | Zanzibar               | -6.1651    | 39.1980     |
| Diabetes Mellitus                             | 20-80 years  | Obese Individuals             | Genetic and Lifestyle Factors | Any | Iringa                 | -7.7694    | 35.6922     |
| COVID-19                                      | 1-80 years   | Healthcare Workers            | Airborne Transmission         | Any     | Pwani                  | -6.7242    | 38.2794     |
| Migraine                                      | 15-60 years  | Office Workers                | Genetic Predisposition        | Any     | Kagera                 | -1.2921    | 31.8111     |
| Osteoarthritis                                | 40-80 years  | Elderly Individuals           | Wear and Tear of Joints       | Any     | Rukwa                  | -7.0086    | 31.4229     |
| Hepatitis B                                   | 20-60 years  | Healthcare Workers            | Bloodborne Transmission       | Any     | Manyara                | -4.2260    | 35.7516     |
| Hepatitis C                                   | 20-60 years  | Intravenous Drug Users        | Bloodborne Transmission       | Any     | Singida                | -4.8176    | 34.7509     |
| Hepatitis D                                   | 20-60 years  | Individuals with Hepatitis B  | Coinfection                   | Any     | Shinyanga              | -3.6639    | 33.4212     |
