
| **Disease** | **Category** | **Causes** | **Population Most Affected** | **Clinical Presentation** | **Pharmacological Treatment** | **Non-Pharmacological Treatment** | **Other Treatment** |
|-------------|--------------|------------|-----------------------------|-----------------------------|------------------------------|---------------------------------|----------------------|
| **Sickle Cell Disease (SCD)** | Hematological | Genetic mutation (HbS) | Individuals with African, Mediterranean, Middle Eastern, and Indian ancestry | Variable manifestations, vaso-occlusive, hemolytic, sequestration, aplastic crises | Folic acid, Pneumococcal prophylaxis, Immunization, Analgesia, Hydroxyurea, Blood transfusion | Hydration, Genetic counseling, Pain management, Supportive care | Exchange Blood Transfusion, Pregnancy management |
| **G6PD Deficiency** | Genetic Hemolytic Anemia | X-linked recessive genetic disorder | Males, especially in African, Mediterranean, and Southeast Asian populations | Asymptomatic, acute anemia triggered by infections, certain drugs, or foods | Folic acid, Blood transfusion (severe cases) | Avoid triggers (certain drugs, foods), Genetic counseling | - |
| **Aplastic Anemia** | Hematological | Inherited (Fanconi anemia) or Acquired | All age groups, no specific population | Anemia, easy bruising/bleeding, recurrent infections, pancytopenia | Supportive care, Blood transfusion, Antibiotics, Hematopoietic stem cell transplantation | Isolation, Hygiene, Platelet transfusion, Antibiotics | Allogeneic stem cell transplantation, Immunosuppressive Therapy |
| **Myelodysplastic Syndrome (MDS)** | Premalignant | Primarily in the elderly | Predominantly older individuals | Varies with severity, pancytopenia, bone marrow hypocellularity | Blood transfusion, Azacitidine | - | - |
| **Disseminated Intravascular Coagulation (DIC)** | Bleeding Disorder | Underlying disorders (infection, trauma, malignancy) | Often secondary to other conditions | Bleeding manifestations, organ dysfunction | Treatment of underlying disorder, Platelet transfusion, Fresh frozen plasma | Intensive care, Monitor coagulation parameters | - |
| **Idiopathic Thrombocytopenic Purpura (ITP)** | Bleeding Disorder | Autoimmune, often post-viral | Females more than males, all age groups | Purpura, menorrhagia, bleeding | Corticosteroids, IVIG, Platelet transfusion | Avoid NSAIDs, Emergency platelet transfusion | - |
| **Von Willebrand Disease (VWD)** | Bleeding Disorder | Genetic deficiency of vWF | Common in women | Easy bruising, menorrhagia, gum bleeding | Etamsylate, Tranexamic acid, Desmopressin | - | vWF-containing FVIII concentrate if unresponsive to standard treatment |
| **Haemophilia A and B** | Bleeding Disorder | Genetic (X-linked) | Almost exclusively males | Spontaneous muscle and joint bleeding, prolonged bleeding after injury | Factor VIII or IX concentrate, Fresh frozen plasma | Avoid NSAIDs, Genetic counseling | Immune tolerance induction therapy, Bypass agents |
| **Venous Thromboembolism (VTE)** | Coagulation Disorder | Proximal DVT leading to PE | General population, often post-surgery or immobility | Variable, transient dyspnea, tachypnea, pleuritic chest pain, cough, hemoptysis | Warfarin, Low Molecular Weight Heparin, Rivaroxaban | Early ambulation, Compression stockings | - |
| **Deep Vein Thrombosis (DVT)** | Coagulation Disorder | Immobility, surgery, underlying clotting disorders | Individuals with risk factors, post-surgical patients | Leg pain, tenderness, swelling, palpable cord | Warfarin, Low Molecular Weight Heparin, Rivaroxaban | Compression stockings, Leg elevation | - |
| **Pulmonary Embolism (PE)** | Coagulation Disorder | Migration of thrombus from DVT | Medical emergency, post-surgical patients | Dyspnea, tachypnea, pleuritic chest pain, hemoptysis | Warfarin, Low Molecular Weight Heparin, Rivaroxaban | Oxygen therapy, Bed rest | Exchange Blood Transfusion (severe cases) |
